"","site","trt","rep","taxon","stage","mon_yr","se_ugg","detectionlimit","mean","year","lat","long","min_area","max_area","depth_min","WetlandSize","Class"
"74","Petri","surface",1,"Coenagrionidae","adults","June_2016",0.978,0.2,0.978,"2016",43.6792482,-97.09,3,10,0.7,"3-10acres","IV-Semipermanent"
"75","Petri","surface",1,"Coenagrionidae","larvae","June_2016",1.764,0.2,1.764,"2016",43.6792482,-97.09,3,10,0.7,"3-10acres","IV-Semipermanent"
"76","Pettigrew","control",1,"Chironomidae","adults","June_2015",3.07,0.2,3.07,"2015",44.0924964,-96.849,3,10,0.4,"3-10acres","II-Temporary"
"77","Pettigrew","control",1,"Chironomidae","adults","June_2016",0.661,0.2,0.661,"2016",44.0924964,-96.849,3,10,0.4,"3-10acres","II-Temporary"
"78","Pettigrew","control",2,"Chironomidae","adults","June_2016",0.82,0.2,0.82,"2016",44.0924964,-96.849,3,10,0.4,"3-10acres","II-Temporary"
"79","Pettigrew","control",1,"Coenagrionidae","adults","June_2016",0.715,0.2,0.715,"2016",44.0924964,-96.849,3,10,0.4,"3-10acres","II-Temporary"
"80","Pettigrew","control",2,"Coenagrionidae","adults","June_2016",0.611,0.2,0.611,"2016",44.0924964,-96.849,3,10,0.4,"3-10acres","II-Temporary"
"81","Pettigrew","control",1,"Coenagrionidae","larvae","June_2016",0.652,0.2,0.652,"2016",44.0924964,-96.849,3,10,0.4,"3-10acres","II-Temporary"
"82","Pittenger","control",1,"Chironomidae","adults","June_2015",2.75,0.2,2.75,"2015",44.38588,-96.96459,10,25,0.7,"10-25acres","IV-Semipermanent"
"83","Pittenger","control",2,"Chironomidae","adults","June_2015",2.43,0.2,2.43,"2015",44.38588,-96.96459,10,25,0.7,"10-25acres","IV-Semipermanent"
"84","Pittenger","control",1,"Coenagrionidae","adults","June_2015",0.6,0.2,0.6,"2015",44.38588,-96.96459,10,25,0.7,"10-25acres","IV-Semipermanent"
"85","Pittenger","control",2,"Coenagrionidae","adults","June_2015",1.16,0.2,1.16,"2015",44.38588,-96.96459,10,25,0.7,"10-25acres","IV-Semipermanent"
"86","Pittenger","control",1,"Chironomidae","adults","June_2016",0.686,0.2,0.686,"2016",44.38588,-96.96459,10,25,0.7,"10-25acres","IV-Semipermanent"
"87","Pittenger","control",1,"Coenagrionidae","adults","June_2016",2.931,0.2,2.931,"2016",44.38588,-96.96459,10,25,0.7,"10-25acres","IV-Semipermanent"
"88","Pittenger","control",2,"Coenagrionidae","adults","June_2016",1.116,0.2,1.116,"2016",44.38588,-96.96459,10,25,0.7,"10-25acres","IV-Semipermanent"
"89","Ramsey","surface",1,"Chironomidae","adults","June_2015",1.05,0.2,1.05,"2015",44.1932039,-96.96,3,10,0.4,"3-10acres","IV-Semipermanent"
"90","Ramsey","surface",2,"Chironomidae","adults","June_2015",1.34,0.2,1.34,"2015",44.1932039,-96.96,3,10,0.4,"3-10acres","IV-Semipermanent"
"91","Ramsey","surface",1,"Coenagrionidae","adults","June_2015",0.86,0.2,0.86,"2015",44.1932039,-96.96,3,10,0.4,"3-10acres","IV-Semipermanent"
"92","Ramsey","surface",2,"Coenagrionidae","adults","June_2015",1.03,0.2,1.03,"2015",44.1932039,-96.96,3,10,0.4,"3-10acres","IV-Semipermanent"
"93","Ramsey","surface",1,"Chironomidae","adults","June_2016",2.058,0.2,2.058,"2016",44.1932039,-96.96,3,10,0.4,"3-10acres","IV-Semipermanent"
"94","Ramsey","surface",2,"Chironomidae","adults","June_2016",2.456,0.2,2.456,"2016",44.1932039,-96.96,3,10,0.4,"3-10acres","IV-Semipermanent"
"95","Ramsey","surface",1,"Coenagrionidae","adults","June_2016",0.758,0.2,0.758,"2016",44.1932039,-96.96,3,10,0.4,"3-10acres","IV-Semipermanent"
"96","Ramsey","surface",1,"Chironomidae","larvae","June_2016",2.017,0.2,2.017,"2016",44.1932039,-96.96,3,10,0.4,"3-10acres","IV-Semipermanent"
"97","Ramsey","surface",1,"Coenagrionidae","larvae","June_2016",1.104,0.2,1.104,"2016",44.1932039,-96.96,3,10,0.4,"3-10acres","IV-Semipermanent"
"98","Schaefer","surface",1,"Chironomidae","adults","June_2015",1,0.2,1,"2015",43.81266,-97.03,25,50,0.7,"25+acres","V-Permanent"
"99","Schaefer","surface",2,"Chironomidae","adults","June_2015",0.77,0.2,0.77,"2015",43.81266,-97.03,25,50,0.7,"25+acres","V-Permanent"
"100","Schaefer","surface",1,"Coenagrionidae","adults","June_2015",0.82,0.2,0.82,"2015",43.81266,-97.03,25,50,0.7,"25+acres","V-Permanent"
"101","Schaefer","surface",2,"Coenagrionidae","adults","June_2015",1.23,0.2,1.23,"2015",43.81266,-97.03,25,50,0.7,"25+acres","V-Permanent"
"102","Schaefer","surface",1,"Chironomidae","adults","June_2016",0.284,0.2,0.284,"2016",43.81266,-97.03,25,50,0.7,"25+acres","V-Permanent"
"103","Schaefer","surface",2,"Chironomidae","adults","June_2016",0.156,0.2,0.156,"2016",43.81266,-97.03,25,50,0.7,"25+acres","V-Permanent"
"104","Schaefer","surface",1,"Coenagrionidae","adults","June_2016",0.739,0.2,0.739,"2016",43.81266,-97.03,25,50,0.7,"25+acres","V-Permanent"
"105","Schaefer","surface",2,"Coenagrionidae","adults","June_2016",0.891,0.2,0.891,"2016",43.81266,-97.03,25,50,0.7,"25+acres","V-Permanent"
"106","Schaefer","surface",1,"Coenagrionidae","larvae","June_2016",3.538,0.2,3.538,"2016",43.81266,-97.03,25,50,0.7,"25+acres","V-Permanent"
"107","Swartz","tile",1,"Chironomidae","adults","June_2015",2.43,0.2,2.43,"2015",44.09452,-96.92,25,50,0.4,"25+acres","V-Permanent"
"108","Swartz","tile",2,"Chironomidae","adults","June_2015",1.76,0.2,1.76,"2015",44.09452,-96.92,25,50,0.4,"25+acres","V-Permanent"
"109","Swartz","tile",1,"Chironomidae","adults","June_2016",20.133,0.2,20.133,"2016",44.09452,-96.92,25,50,0.4,"25+acres","V-Permanent"
"110","Swartz","tile",2,"Chironomidae","adults","June_2016",3.351,0.2,3.351,"2016",44.09452,-96.92,25,50,0.4,"25+acres","V-Permanent"
"111","Swartz","tile",1,"Coenagrionidae","adults","June_2016",5.061,0.2,5.061,"2016",44.09452,-96.92,25,50,0.4,"25+acres","V-Permanent"
"112","Swartz","tile",2,"Coenagrionidae","adults","June_2016",4.834,0.2,4.834,"2016",44.09452,-96.92,25,50,0.4,"25+acres","V-Permanent"
"113","Swartz","tile",1,"Chironomidae","larvae","June_2016",11.92,0.2,11.92,"2016",44.09452,-96.92,25,50,0.4,"25+acres","V-Permanent"
"114","Swartz","tile",1,"Coenagrionidae","larvae","June_2016",3.447,0.2,3.447,"2016",44.09452,-96.92,25,50,0.4,"25+acres","V-Permanent"
"115","Volker","tile",1,"Coenagrionidae","adults","June_2015",0.45,0.2,0.45,"2015",43.710398,-97.11,25,50,0.4,"25+acres","IV-Semipermanent"
"116","Volker","tile",2,"Coenagrionidae","adults","June_2015",0.53,0.2,0.53,"2015",43.710398,-97.11,25,50,0.4,"25+acres","IV-Semipermanent"
"117","Volker","tile",1,"Chironomidae","adults","June_2015",2,0.2,2,"2015",43.710398,-97.11,25,50,0.4,"25+acres","IV-Semipermanent"
"118","Volker","tile",2,"Chironomidae","adults","June_2015",1.19,0.2,1.19,"2015",43.710398,-97.11,25,50,0.4,"25+acres","IV-Semipermanent"
"119","Volker","tile",1,"Chironomidae","adults","June_2016",5.343,0.2,5.343,"2016",43.710398,-97.11,25,50,0.4,"25+acres","IV-Semipermanent"
"120","Volker","tile",2,"Chironomidae","adults","June_2016",5.099,0.2,5.099,"2016",43.710398,-97.11,25,50,0.4,"25+acres","IV-Semipermanent"
"121","Volker","tile",1,"Coenagrionidae","adults","June_2016",8.187,0.2,8.187,"2016",43.710398,-97.11,25,50,0.4,"25+acres","IV-Semipermanent"
"122","Volker","tile",2,"Coenagrionidae","adults","June_2016",4.892,0.2,4.892,"2016",43.710398,-97.11,25,50,0.4,"25+acres","IV-Semipermanent"
"123","Volker","tile",1,"Chironomidae","larvae","June_2016",5.742,0.2,5.742,"2016",43.710398,-97.11,25,50,0.4,"25+acres","IV-Semipermanent"
"124","Volker","tile",1,"Coenagrionidae","larvae","June_2016",2.164,0.2,2.164,"2016",43.710398,-97.11,25,50,0.4,"25+acres","IV-Semipermanent"
"125","Ziegler","surface",1,"Coenagrionidae","adults","June_2015",0.44,0.2,0.44,"2015",44.31311009,-96.9777,10,25,0.7,"10-25acres","V-Permanent"
"126","Ziegler","surface",2,"Coenagrionidae","adults","June_2015",0.44,0.2,0.44,"2015",44.31311009,-96.9777,10,25,0.7,"10-25acres","V-Permanent"
"127","Ziegler","surface",1,"Chironomidae","adults","June_2015",0.77,0.2,0.77,"2015",44.31311009,-96.9777,10,25,0.7,"10-25acres","V-Permanent"
"128","Ziegler","surface",2,"Chironomidae","adults","June_2015",1.16,0.2,1.16,"2015",44.31311009,-96.9777,10,25,0.7,"10-25acres","V-Permanent"
"129","Ziegler","surface",2,"Chironomidae","adults","June_2016",2.117,0.2,2.117,"2016",44.31311009,-96.9777,10,25,0.7,"10-25acres","V-Permanent"
"130","Ziegler","surface",1,"Chironomidae","adults","June_2016",14.526,0.2,14.526,"2016",44.31311009,-96.9777,10,25,0.7,"10-25acres","V-Permanent"
"131","Ziegler","surface",1,"Coenagrionidae","adults","June_2016",2.175,0.2,2.175,"2016",44.31311009,-96.9777,10,25,0.7,"10-25acres","V-Permanent"
"132","Ziegler","surface",2,"Coenagrionidae","adults","June_2016",6.247,0.2,6.247,"2016",44.31311009,-96.9777,10,25,0.7,"10-25acres","V-Permanent"
"133","Ziegler","surface",1,"Chironomidae","larvae","June_2016",11.305,0.2,11.305,"2016",44.31311009,-96.9777,10,25,0.7,"10-25acres","V-Permanent"
"134","Ziegler","surface",1,"Coenagrionidae","larvae","June_2016",3.453,0.2,3.453,"2016",44.31311009,-96.9777,10,25,0.7,"10-25acres","V-Permanent"
